Table of Contents:
        Working -> Command works and has been tested 
        Deving  -> Broken, Bugged or In current development
____________________________________________________________________________________________________
|______________|____________________________________________________________________________________|
|-> commands   | Show this command menu with the status                                    |Working |
|-> h          | Show this command menu with the status                                    |Working |
|-> help       | Show this command menu with the status                                    |Working |
|-> help-nosta | Show all cuurent commands without a status active true/false              |Working |
|-> ajax-wo    | Ajax spider without whois for every url scanned                           |Working |
|-> ajax-NK    | Ajax spider NUCLEAR aka a over powered crawler                            |Working |
|-> ajax-wu    | Ajax spider with whois for every url scanned   UNSTABLE                   |Working | 
|-> whois      | Get information on a domain such as nameservers                           |Working |
|-> xss-t      | Test a URL for XSS vulnerabilities                                        |Working |
|-> sql-t      | Test a URL for possible SQLI vulnerabilities                              |Working |
|-> kick_MSQL  | Extract table names and database names from vulnerbale MySQL Servers      |Working |
|-> MongMiner  | Extract data from vulnerable mongo databases via connect  IP Connect      |Deving  |
|-> MySQLMiner | Extract data from vulnerable MySQL databases via connect  IP Connect      |Deving  |
|-> fp-pillage | Walk filepaths for very important information such as users passwords etc |Working |
|-> Sniff-FTP  | Sniff cleartext FTP credentials on defualt port 21                        |Working |
|-> eth-sniff  | Dump, Log, and output TCP dump logs on interfaces (PS: this is amazing)   |Working |
|-> if-listen  | Find devices you can listen on before capturing network info              |Working |
|-> Sub_domfind| Run a Sub Domain Finder to guess domains and record CNAMES and A records  |Working |
|-> fake-ap    | Spawn fake 802.11 access points                                           |Working |
|-> SSH-B-R    | Brute force a SSH server   (ruby)                                         |Working |
|-> SSH-B-G    | Brute force a SSH server   (Golang)                                       |Working |
|-> SMTP-b     | Brute force a SMTP email                                                  |Working |
|-> FTP-b      | Brute force a FTP server                                                  |Working |
|-> LFI-PHI    | Command injection ( WARNING: STILL IN development VERY BUGGY DO NOT USE)  |Working |
|-> MD5-B      | Brute force a list of MD5 hashes                                          |Working |
|-> SHA256-B   | Brute force a list of SHA-256 hashes with optional password lists         |Working |
|-> SSH-p      | SSH possession                                                            |Working |
|-> SSH-i      | Inject SSH files into a host                                              |Working |
|-> ARP-DNS    | Arp spoof a client or network                                             |Working | 
|-> DHCMP-S    | Run a DHCMP attack                                                        |Working |
|-> port-r     | Run a port scanning tool in ruby to port scan websites                    |Working |
|-> port-r-h   | Run a port scanning tool in ruby to port scan HOST IPA's                  |Working |
|-> d-g        | Run a port scanning tool in Golang                                        |Working |
|-> port-g-l   | Run a port scanning tool in golang but for list scans and domains         |Working |
|-> dom-g      | Domain information grabber [ basic ]                                      |Working |
|-> F-dns      | Forward DNS lookup                                                        |Working |
|-> d-o        | Full domain OSINT                                                         |Working |
|-> URL-r      | Full URL recon                                                            |Working |
|-> HTML-r     | Download the HTML file of a webpage                                       |Working |
|-> r-dns      | Reverse DNS lookup                                                        |Working |
|-> ip-t       | Trace an IP                                                               |Working |
|-> PNT-U      | Phone number tracer US numbers only                                       |Working |
|-> CF         | Mine IPA's for cameras                                                    |Working |
|-> dm-b       | Route domain name connections to the loopback                             |Working |
|-> FTP-C      | FTP credential sniffer                                                    |Working |
|-> ftp-read   | FTP credential sniffer in analyzation of PCAPNG files                     |Working |
|-> FTP-R      | FTP Fuzzer [ruby]                                                         |Working |
|-> FTP-G      | FTP Fuzzer [Golang]                                                       |Working |
|-> JBOS-F     | Fuzz JBOS services with optional SSL                                      |Working |
|-> tcp-d      | TCP network traffic analyzer                                              |Working |
|-> hd         | Hex dumper                                                                |Working |
|-> W-SSID     | Wifi SSID/BSSID finder [ python ]                                         |Working |
|-> G-BSSID    | Wifi SSID/BSSID finder [ Golang ]                                         |Working |
|-> start-i    | Start interface [ airmon ]                                                |Working |
|-> stop-i     | Stop interface  [ airmon ]                                                |Working |
|-> si-phy     | Start interface [ phy-dev ]                                               |Working |
|-> s-phys     | Stop interface  [ phy-dev ]                                               |Working |
|-> SOAP-E     | Attempt to get a PHP shell on vTiger CRM SOAP Applications  in development|Working |
|-> ps-deam    | Get host information through a interactive deamon mode built with go      |Working |
|-> doc-dem    | Learn and read more about the documentation through a web UI              |Working |
|-> robo-get   | Get the robots .txt of a URL and download/save it to the Active directory |Working |
|-> QR=nolist  | Generate a QR code with a given URL ( Without parsing a list ) [ perl ]   |Working |
|-> QR=list    | Generate a QR code for every URL in a given list or file                  |Working |
|-> EXIF       | Gather basic EXIF data from an image using perl                           |Working |
|-> sqlf       | Run my forked version of SQLI_Finder, With a crawler                      |Working |
|-> sqlf=L     | Run the same as above but with a URL list to test without a ajax spider   |Working |
|-> generate-w | Generate wordlist files with random characters and numbers based on size  |Working |
|-> modules    | Check the loaded modules for RR5                                          |Working |
